id,borrow_total
6,2
7,28
11,4
20,9
22,5
23,14
28,4
29,5
40,4
41,2
42,24
44,14
45,8
50,35
51,24
52,1
54,19
55,14
56,6
58,9
62,1
64,92
66,69
67,115
68,128
77,7
78,38
79,20
80,2
81,6
82,5
83,35
84,8
85,30
86,37
92,4
94,32
95,19
98,3
99,25
118,6
119,5
123,59
124,59
126,90
127,10
128,1
129,191
130,40
131,107
132,18
133,17
134,31
142,34
143,15
145,19
150,30
151,1
154,3
158,10
159,50
162,74
163,6
164,91
168,14
169,63
170,96
171,121
174,76
175,8
176,109
177,4
180,27
184,12
185,10
186,59
187,46
188,57
196,8
197,24
198,2
208,89
209,12
210,40
211,17
213,2
216,6
220,3
223,59
224,2
227,4
230,7
231,16
232,4
233,4
236,2
238,80
239,16
240,18
241,12
243,90
245,1
246,2
247,13
249,39
252,26
253,51
254,13
256,9
257,14
259,6
263,4
264,4
265,2
266,6
267,24
280,37
281,32
282,24
285,104
292,93
294,5
295,46
296,26
297,30
302,4
303,8
314,15
315,33
322,9
323,16
330,21
333,15
336,8
338,21
341,78
342,21
343,17
346,27
347,36
350,1
351,52
352,6
353,28
354,55
355,33
356,28
357,6
360,10
361,8
364,11
365,44
366,2
371,51
372,4
374,5
375,36
378,116
379,12
380,27
382,6
383,44
392,6
398,11
399,18
400,22
401,20
402,15
403,10
408,11
409,22
410,42
411,77
412,38
413,32
426,54
427,31
429,6
430,10
434,4
435,17
436,202
438,44
439,2
440,33
441,10
448,13
449,23
450,11
451,10
456,2
457,2
464,38
465,19
470,21
471,8
473,21
476,18
477,26
480,135
481,48
482,53
483,54
491,122
494,54
495,24
497,9
504,29
505,2
506,10
514,22
516,17
517,51
518,42
519,39
521,129
522,7
523,4
524,16
528,5
530,36
532,3
534,7
536,7
539,99
540,43
542,25
543,62
546,6
548,16
549,13
552,53
553,58
554,4
555,69
556,8
557,4
560,2
561,9
564,4
566,29
567,5
568,31
569,14
572,1
573,8
576,9
577,14
580,4
584,12
590,18
591,54
597,5
600,6
601,14
602,7
603,5
606,1
607,4
612,55
613,26
616,2
617,4
622,16
623,40
624,97
625,37
626,15
627,12
629,38
633,14
636,12
637,9
639,4
644,24
650,12
651,43
652,28
653,2
656,2
657,79
659,4
662,12
663,17
666,12
667,6
670,23
671,4
673,8
674,7
675,2
680,10
681,24
694,44
695,125
696,35
697,26
699,14
702,54
703,15
706,7
707,21
708,10
709,14
712,57
713,41
716,151
718,16
719,35
720,39
721,105
722,76
723,142
725,13
732,2
733,2
742,18
743,7
744,56
745,14
746,5
747,5
754,113
755,103
756,244
757,204
760,6
761,38
762,5
768,6
770,10
774,25
775,14
778,3
779,10
780,5
784,36
785,67
786,81
787,34
792,10
796,10
797,12
800,11
801,30
802,54
803,17
806,161
807,2
813,22
815,6
816,16
817,3
818,20
820,26
821,8
822,21
824,30
826,56
827,70
828,61
837,15
838,2
839,47
841,10
845,2
856,24
862,81
863,142
867,37
870,11
871,12
872,19
873,42
875,47
876,9
877,6
878,30
879,95
881,119
882,21
883,52
884,16
888,4
889,60
894,2
897,9
898,4
899,1
900,3
901,3
904,60
905,60
906,7
908,88
909,113
910,30
911,8
913,1
916,57
917,34
918,27
921,12
926,56
927,6
928,2
929,17
930,72
932,10
936,18
937,8
940,5
941,7
948,19
949,40
958,15
959,48
962,6
963,21
964,9
965,58
966,65
967,37
968,37
969,56
970,5
971,8
972,31
973,2
976,12
988,111
989,29
990,6
991,22
996,3
997,2
999,2
1002,86
1003,46
1005,6
1006,7
1007,21
1012,14
1013,12
1014,68
1015,17
1016,23
1017,16
1018,12
1024,89
1025,83
1028,35
1030,12
1032,47
1035,34
1036,12
1037,3
1042,24
1043,24
1050,12
1051,5
1054,3
1056,49
1057,4
1073,27
1077,33
1084,13
1085,10
1087,26
1090,4
1094,4
1099,2
1100,33
1101,12
1102,57
1103,56
1105,11
1107,91
1110,2
1112,42
1113,17
1114,30
1116,25
1117,24
1123,33
1124,2
1125,3
1132,13
1133,4
1137,6
1138,5
1139,10
1142,13
1143,102
1146,73
1147,16
1148,19
1154,14
1159,13
1160,4
1161,6
1162,14
1163,10
1164,25
1165,120
1170,4
1172,2
1173,2
1174,6
1180,14
1181,24
1182,52
1183,60
1184,60
1185,121
1186,3
1187,3
1189,189
1190,23
1192,20
1193,25
1195,20
1196,32
1197,53
1200,6
1201,20
1202,11
1203,15
1218,1
1219,5
1222,2
1226,63
1227,117
1229,4
1230,10
1234,79
1235,6
1236,38
1237,25
1238,1
1239,56
1243,2
1245,11
1248,35
1249,5
1251,4
1254,5
1258,44
1259,53
1260,3
1261,58
1262,18
1263,8
1264,11
1265,39
