id,con_val,其他,图书馆,开水,教务处,文印中心,校医院,校车,洗衣房,淋浴,超市,食堂
1,5884.19,0.0,270.6,262.79,29.3,96.4,0.0,116.4,34.8,21.5,506.6,4545.8
6,6284.83,0.0,2.2,839.01,0.0,14.52,0.0,99.78,2.52,9.1,701.6,4616.1
7,11796.38,0.0,88.3,1033.74,11.4,10.3,0.0,602.64,54.0,21.4,1341.15,8633.45
8,10816.5,0.0,403.3,2381.52,0.0,2.0,0.0,2143.85,4.5,39.33,10.0,5832.0
9,14146.1,61.13,111.93,4606.78,0.0,294.4,0.0,158.1,21.6,35.96,0.0,8856.2
10,5889.19,0.0,272.6,743.4,1.3,0.0,0.0,476.4,65.0,139.1,242.8,3948.59
11,5408.38,0.0,133.45,891.88,0.0,4.0,0.0,964.65,7.2,160.9,104.2,3142.1
12,9994.24,0.0,122.1,613.13,6.6,2.05,0.0,259.83,105.6,228.5,2660.56,5995.87
13,884.4,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,291.5,591.2
14,890.92,0.0,0.0,6.52,0.0,0.0,0.0,11.6,0.0,0.4,53.9,818.5
19,3247.7,0.0,65.4,246.33,0.0,17.7,0.0,6.9,0.0,14.9,649.16,2247.31
20,6212.84,0.0,35.2,700.34,40.3,0.0,0.0,146.73,4.9,32.2,653.8,4599.37
21,3099.56,0.0,96.0,288.51,0.0,0.0,0.0,204.5,0.0,13.0,324.5,2173.05
22,10386.21,0.0,294.1,976.85,5.0,0.4,0.0,173.49,7.2,53.0,440.4,8435.77
23,10341.41,0.0,70.3,1042.83,45.3,45.2,0.0,448.9,10.8,110.1,315.1,8252.88
24,8575.91,0.0,97.2,1238.77,5.0,0.3,0.0,197.0,24.06,22.31,664.9,6326.37
25,142.2,0.0,0.0,11.8,0.0,0.1,0.0,0.0,0.0,0.7,0.0,129.6
26,307.51,0.0,0.0,58.31,0.0,0.0,0.0,0.0,0.0,0.0,7.8,241.4
27,4691.21,0.0,92.1,429.44,0.0,2.0,0.0,120.2,43.2,59.5,860.4,3084.37
28,6280.43,0.0,287.0,504.03,4.53,2.8,0.0,160.98,8.1,47.0,864.6,4401.39
29,3714.95,3.0,144.5,171.21,13.2,7.25,0.0,123.56,10.8,22.4,255.4,2963.63
30,5368.77,150.0,291.5,266.27,5.5,5.3,0.0,210.4,3.6,4.2,193.3,4238.7
31,8845.79,0.0,74.7,511.14,9.1,68.5,0.0,268.48,216.0,241.2,722.0,6734.67
36,10458.11,0.0,29.6,1132.79,22.21,12.1,0.0,213.41,43.0,93.35,512.96,8398.69
37,13777.35,0.0,266.4,1222.27,19.3,6.65,0.0,514.0,43.2,101.7,1158.56,10445.27
40,7937.76,0.0,97.5,542.39,55.0,3.9,0.0,508.7,36.0,86.27,720.31,5887.69
41,5292.56,0.0,76.6,372.06,7.6,23.8,0.0,286.9,0.0,160.8,767.23,3597.57
42,11941.6,0.0,43.6,3031.63,20.0,27.06,0.0,2040.9,19.5,153.0,5.5,6600.41
43,172.8,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,164.3
44,10225.91,0.0,222.3,951.73,54.0,25.2,0.0,184.6,54.0,94.8,449.1,8190.18
45,13491.0,0.0,190.6,1309.7,73.9,40.15,0.0,211.33,31.3,18.7,2359.0,9256.32
