id,lib_times
0,16
1,2
6,5
7,91
10,4
12,6
19,19
20,14
21,5
22,19
23,14
27,22
28,63
29,143
30,126
31,33
36,12
37,48
40,99
41,17
44,153
45,52
50,89
51,187
52,69
53,152
54,151
55,117
56,7
57,12
58,97
59,6
62,5
64,38
65,14
66,14
67,14
68,941
70,58
71,38
74,54
75,69
76,2
77,10
78,135
79,156
81,164
82,38
83,52
84,52
85,348
86,99
88,42
92,7
93,12
94,169
95,20
98,27
99,290
118,1
122,21
123,327
124,175
125,10
126,62
127,84
128,12
129,48
130,85
131,388
132,22
134,393
135,156
142,53
143,125
145,1
150,142
151,142
153,4
158,142
159,11
160,13
162,183
163,2
164,204
168,8
169,62
170,333
171,237
174,25
175,29
176,283
177,43
178,2
179,13
180,45
181,438
184,168
185,8
186,161
187,8
188,59
193,2
194,2
196,408
197,135
198,5
199,12
208,154
209,65
210,39
211,154
212,305
213,80
216,102
217,3
220,8
221,5
223,45
224,1
225,30
227,123
230,111
231,184
232,40
233,61
236,8
238,302
239,365
240,55
241,30
242,29
243,148
244,90
245,230
246,62
247,69
249,140
252,85
253,136
254,11
256,51
257,158
258,18
259,19
263,6
265,20
266,99
267,35
280,364
281,72
282,82
283,21
284,39
285,84
288,1
292,27
293,54
294,61
295,77
296,26
297,636
300,337
301,170
303,169
306,35
307,152
314,21
315,55
316,5
322,8
323,17
326,10
330,31
331,28
332,4
333,21
337,4
338,40
341,103
342,42
343,12
346,361
347,756
350,236
351,45
352,8
353,30
354,486
355,774
356,18
360,181
361,64
364,192
365,221
366,4
367,4
371,122
373,3
374,11
375,93
378,111
379,130
380,234
382,6
383,550
392,213
399,9
400,8
401,20
402,55
403,58
410,130
411,278
412,101
413,143
422,55
426,137
427,134
429,142
430,6
431,6
434,46
435,170
436,108
438,94
439,116
440,72
441,80
448,84
449,55
450,24
451,22
456,63
457,6
464,107
465,68
470,67
471,52
473,53
476,70
477,69
480,71
481,120
482,285
483,228
490,46
491,205
493,9
494,22
495,63
496,154
497,142
505,13
506,26
508,3
509,17
511,2
514,145
516,19
517,156
518,75
519,203
520,134
521,406
522,95
523,339
524,14
525,42
528,6
530,43
532,21
533,40
534,7
535,80
539,167
540,280
542,137
543,75
546,104
548,299
549,15
552,63
553,250
555,113
556,253
557,180
560,331
561,12
564,84
565,259
566,138
567,487
568,2
569,36
572,82
573,24
576,93
577,62
580,10
581,57
584,18
585,62
590,60
591,105
596,148
597,373
600,18
601,202
602,177
603,633
606,18
607,23
612,25
613,23
616,13
617,90
622,295
623,94
624,263
625,106
626,72
627,205
629,72
632,82
633,435
634,16
635,36
636,13
637,85
639,49
644,51
648,51
649,789
650,147
651,827
652,114
653,62
657,316
658,48
659,39
662,14
663,22
666,113
667,57
670,11
671,56
673,47
674,59
675,17
677,13
680,183
681,203
690,6
691,55
694,273
695,460
696,242
697,922
698,290
699,38
702,2
703,41
705,17
706,223
707,312
708,95
709,27
712,444
713,866
714,6
715,38
716,178
718,247
719,253
720,163
721,149
722,60
723,162
724,14
725,98
726,15
732,90
733,4
742,41
743,62
744,179
745,503
746,65
747,167
754,88
755,311
756,264
757,667
760,195
761,383
762,6
763,23
765,259
768,9
770,17
771,16
772,11
773,2
774,9
775,9
778,282
779,325
780,4
782,18
784,111
785,52
786,304
787,250
792,39
794,237
796,15
797,538
800,145
801,217
802,231
803,138
806,77
807,5
813,82
815,203
816,6
817,65
818,97
819,2
820,107
821,79
822,194
823,207
824,248
826,362
827,590
828,204
837,75
838,57
839,307
840,1
841,34
844,3
845,18
856,48
857,11
862,208
863,134
866,54
867,171
870,17
871,51
872,55
873,81
875,349
876,282
877,93
878,23
879,74
882,93
883,404
884,87
888,147
889,2
890,5
891,2
893,80
894,4
895,4
896,26
897,44
898,28
899,103
900,106
901,199
904,380
905,250
906,267
908,141
909,212
910,119
911,68
913,117
916,140
917,181
918,251
919,59
920,7
921,83
926,28
927,108
928,34
929,179
930,55
931,56
932,43
933,388
936,21
937,68
940,172
941,225
946,10
948,169
949,716
958,91
959,136
962,155
963,15
964,250
965,506
966,125
967,721
