id,score_rank
0,1
1,1
8,5
9,5
10,1
11,1
19,1
20,2
21,2
22,4
23,4
28,4
29,4
36,5
37,5
56,5
57,5
62,5
63,5
64,5
65,5
66,5
67,5
70,5
71,5
74,5
75,5
76,5
77,5
82,5
83,5
88,5
89,5
92,5
93,5
98,5
99,5
112,1
113,1
118,1
119,1
138,1
139,1
142,2
143,2
152,2
153,2
154,2
155,2
158,2
159,2
160,2
161,2
162,2
163,2
172,2
173,2
178,2
179,2
184,3
185,3
186,3
187,3
192,3
193,3
194,3
195,3
198,3
199,3
206,3
207,3
212,2
213,2
216,2
217,2
220,2
221,3
224,3
225,3
230,3
231,3
232,3
233,3
236,3
237,3
238,3
239,3
244,3
245,3
254,4
255,4
258,4
259,4
266,4
267,4
282,3
283,3
288,3
289,3
294,3
295,3
296,3
297,3
300,3
301,3
306,3
307,3
322,3
323,3
330,3
331,3
346,4
347,4
352,4
353,4
354,4
355,4
366,3
367,3
368,3
369,3
372,5
373,5
398,5
399,5
400,5
401,5
406,5
407,5
408,5
409,5
412,3
413,3
426,4
427,4
430,4
431,4
438,5
439,5
440,5
441,5
448,5
449,5
450,5
451,5
470,5
471,5
476,5
477,5
480,5
481,5
496,5
497,5
504,5
505,5
508,5
509,5
510,5
511,5
522,5
523,5
524,5
525,5
528,5
529,5
532,5
533,5
534,5
535,5
536,5
537,5
552,5
553,5
564,5
565,5
566,5
567,5
572,5
573,5
576,5
577,5
580,5
581,5
584,5
585,5
596,5
597,5
602,5
603,5
606,5
607,5
612,5
613,5
616,5
617,5
624,5
625,5
626,5
627,5
634,5
635,5
636,5
637,5
648,5
649,5
650,5
651,5
658,5
659,5
662,5
663,5
674,5
675,5
680,5
681,5
690,5
691,5
694,5
695,5
696,5
697,5
706,5
707,5
708,5
709,5
712,5
713,5
714,5
715,5
718,5
719,5
732,5
733,5
742,5
743,5
744,5
745,5
746,5
747,5
754,5
755,5
756,5
757,5
762,5
763,5
770,4
771,4
772,5
773,5
774,5
775,5
786,5
787,5
796,5
797,5
800,5
801,5
802,5
803,5
816,5
817,5
820,5
821,5
822,5
823,5
824,5
825,5
826,5
827,5
840,5
841,5
844,5
845,5
878,5
879,5
882,5
883,5
886,5
887,5
890,5
891,5
894,5
895,5
896,5
897,5
898,5
899,5
900,5
901,5
908,5
909,5
916,5
917,5
928,5
929,5
932,5
933,5
936,5
937,5
940,5
941,5
946,5
947,5
948,5
949,5
958,5
959,5
966,5
967,5
970,5
971,5
988,5
989,5
990,5
991,5
996,5
997,5
998,5
999,5
1002,1
1003,1
1006,1
1007,1
1010,1
1011,1
1012,1
1013,1
1016,1
1017,1
1020,1
1021,1
1024,1
1025,1
1030,1
1031,1
1036,1
1037,1
1040,1
1041,1
1050,1
1051,1
1054,1
1055,1
1070,1
1071,1
1082,1
1083,1
1084,1
1085,1
1098,1
1099,1
1102,1
1103,1
1108,1
1109,1
1110,1
1111,1
1118,1
1119,1
1124,1
1125,1
1132,1
1133,1
1136,1
1137,1
1138,1
1139,1
1142,1
1143,1
1154,1
1155,1
1170,1
1171,1
1172,2
1173,2
1174,2
1175,2
1182,2
1183,2
1184,2
1185,2
1186,2
1187,2
1192,2
1193,2
1196,2
1197,2
1200,2
1201,2
1202,2
1203,2
1218,2
1219,2
1222,2
1223,2
1226,2
1227,2
1228,3
1229,3
1236,3
1237,3
1242,3
1243,3
1248,3
1249,3
1254,3
1255,3
1258,3
1259,3
1260,3
1261,3
1264,3
1265,3
1266,3
1267,3
1278,3
1279,3
1286,3
1287,3
1294,3
1295,3
1296,3
1297,3
1300,3
1301,3
1302,3
1303,3
1308,3
1309,3
1312,3
1313,3
1328,3
1329,3
1330,3
1331,3
1332,3
1333,3
1334,3
1335,3
1338,3
1339,3
1342,3
1343,3
1348,3
1349,3
1360,3
1361,3
1366,3
1367,3
1378,3
1379,3
1382,3
1383,3
1384,3
1385,3
1386,3
1387,3
1394,3
1395,3
1406,2
1407,2
1408,3
1409,3
1410,3
1411,3
1416,3
1417,3
1426,3
1427,3
1430,3
1431,3
1438,3
1439,3
1454,3
1455,3
1470,3
1471,3
1474,3
1475,3
1498,3
1499,3
1500,3
1501,3
1502,3
1503,3
1506,3
1507,3
1512,3
1513,3
1514,3
1515,3
1522,3
1523,3
1528,3
1529,3
1530,3
1531,3
1536,3
1537,3
1538,3
1539,3
1540,3
1541,3
1542,3
1543,3
1550,3
1551,3
1556,3
1557,3
1562,3
1563,3
1582,3
1583,3
1584,3
1585,3
1590,3
1591,3
1594,3
1595,3
1598,3
1599,3
1602,3
1603,3
1604,4
1605,4
1610,4
1611,4
1612,4
1613,4
1614,2
1615,2
1620,2
1621,2
1622,2
1623,2
1626,2
1627,2
1630,2
1631,2
1632,2
1633,2
1642,2
1643,2
1648,2
1649,2
1650,2
1651,2
1652,2
1653,2
1654,2
1655,2
1656,2
1657,2
1670,2
1671,3
1672,3
1673,3
1676,3
1677,3
1678,3
1679,3
1680,3
1681,3
1684,3
1685,3
1688,3
1689,3
1694,3
1695,3
1698,3
1699,3
1712,3
1713,3
1716,3
1717,3
1722,3
1723,3
1730,3
1731,3
1746,3
1747,3
1750,3
1751,3
1752,3
1753,3
1770,3
1771,3
1782,3
1783,3
1794,3
1795,3
1802,3
1803,3
1806,3
1807,3
1812,3
1813,3
1832,3
1833,3
1834,3
1835,3
1840,3
1841,3
1842,3
1843,3
1848,3
1849,3
1850,3
1851,3
1870,3
1871,3
1872,3
1873,3
1874,3
1875,3
1884,3
1885,3
1888,3
1889,3
1902,3
1903,3
1906,3
1907,3
1918,3
1919,3
1924,3
1925,3
1932,3
1933,3
1950,3
1951,3
1956,3
1957,3
1968,3
1969,3
1970,3
1971,3
1980,3
1981,3
1982,3
1983,3
1984,3
1985,3
1986,3
1987,3
1990,3
1991,3
2002,3
2003,3
2014,3
2015,3
2024,3
2025,3
2026,3
2027,3
2036,3
2037,3
2038,3
2039,3
2044,3
2045,3
2060,3
2061,3
2062,3
2063,3
2064,3
2065,3
2066,3
2067,3
2068,3
2069,3
2072,3
2073,3
2078,3
2079,3
2088,3
2089,3
2090,3
2091,3
2092,3
2093,3
2100,3
2101,3
2102,3
2103,3
2110,3
2111,3
2112,3
2113,3
2122,3
2123,3
2124,3
2125,3
2132,3
2133,3
2134,3
2135,3
2142,3
2143,3
2144,3
2145,3
2148,3
2149,3
2162,3
2163,3
2170,3
2171,3
2184,3
2185,3
2190,3
2191,3
2192,3
2193,3
